"company","job description","required qualification","location"
"Oil and Natural Gas Corporation Limited","On-site Operations Trainee. A 12-month field-based role. Assist field engineers with equipment monitoring,  data logging,  and adherence to site safety protocols.","Diploma in Petroleum/Mechanical Engineering or B.Sc (Geology/Physics). Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Jorhat,  Assam"
"Maruti Suzuki India Limited","Assembly Line Operations Trainee. Learn and support vehicle assembly processes,  body shop operations,  quality checks,  and maintenance procedures in a 12-month hands-on program.","ITI (Fitter/Mechanic) or Diploma in Automobile Engineering. Minimum Class 10 pass. Must meet PMIS age and income criteria.","Manesar,  Haryana"
"HDFC Bank Limited","Branch Operations Intern. Support front-desk operations,  assist customers with transactions,  handle customer KYC documentation,  and learn back-office cash management processes.","B.Com or B.A. Graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Coimbatore,  Tamil Nadu"
"Reliance Industries Limited","Petrochemical Plant Operations Trainee. Assist in monitoring control room panels,  supporting on-site maintenance crews,  and learning process safety. 12-month rotational shift training.","Diploma in Chemical/Petroleum Engineering or ITI (Chemical Plant). Must meet PMIS age (21-24) and income (<8L) criteria.","Jamnagar,  Gujarat"
"Infosys Limited","IT Helpdesk Support Trainee. Learn to provide Level 1 technical support via phone and email,  log IT tickets,  and assist in basic software troubleshooting for internal employees.","B.Sc (Computer Science) or BCA (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Mysuru,  Karnataka"
"Jubilant FoodWorks Limited","Quick-Service Restaurant (QSR) Management Trainee. Learn all aspects of store operations,  including inventory management,  customer service,  food safety compliance,  and shift supervision.","Class 12 pass or B.A. (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Noida,  Uttar Pradesh"
"Tata Steel Limited","Industrial Maintenance Trainee (Fitter). Support the mechanical maintenance team in a heavy industrial environment. Learn preventive maintenance and repair of plant machinery.","ITI (Fitter) Certificate. Minimum Class 10 pass. Must meet PMIS age (21-24) and income (<8L) criteria.","Jamshedpur,  Jharkhand"
"Vedanta Limited","Smelter Operations Support Trainee. Assist in materials handling,  support operational data entry,  and learn environmental health and safety (EHS) protocols at the aluminum plant.","Diploma in Metallurgical/Mechanical Engineering or Class 12 Pass (Science). Must meet PMIS age and income criteria.","Jharsuguda,  Odisha"
"Larsen and Toubro Limited","Construction Site Trainee (Civil). Assist site supervisors with project execution,  quality assurance checks,  and coordinating materials. 12-month on-site role.","Diploma in Civil Engineering. Must meet PMIS age (21-24) and income (<8L) criteria. Not from IIT.","Chennai,  Tamil Nadu"
"ICICI Bank Limited","Retail Banking Intern. Support branch staff in customer acquisition,  processing loan applications,  and cross-selling financial products.","BBA or B.Com Graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Lucknow,  Uttar Pradesh"
